Run	AGE	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Group	HOST	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	litter_id	mouse_id	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	total_sequences	study_name	uuid
SRR28674661	12	WGS	302	383671068	PRJNA1099939	SAMN40961917	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	174916660	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-12-12	public	fastq,run.zq,sra	ncbi,gs,s3	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243048	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG057AM1_12MTH_12122020	PAIRED	RANDOM	METAGENOMIC	hSCATG057	hSCATG057AM1	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG057AM1_12MTH_12122020	SRP501636	1493677	SampsonTR_2025	43a9a7d0-8a90-4eff-9c36-3424b3426624
SRR28674665	1	WGS	302	369250568	PRJNA1099939	SAMN40961870	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	163235521	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-08-08	public	fastq,run.zq,sra	s3,gs,ncbi	gs.us-east1,s3.us-east-1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243044	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG039AM6_1MTH_08082019	PAIRED	RANDOM	METAGENOMIC	hSCATG039	hSCATG039AM6	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG039AM6_1MTH_08082019	SRP501636	1510666	SampsonTR_2025	f6e05813-addb-42d3-9943-c6599289e6af
SRR28674669	1	WGS	302	383653552	PRJNA1099939	SAMN40961866	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	169968450	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-08-08	public	fastq,sra,run.zq	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243040	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG039AM3_1MTH_08082019	PAIRED	RANDOM	METAGENOMIC	hSCATG039	hSCATG039AM3	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG039AM3_1MTH_08082019	SRP501636	1578711	SampsonTR_2025	240426fa-3337-4b81-82e1-3f011d51913a
SRR28674670	12	WGS	302	356394428	PRJNA1099939	SAMN40961865	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	159970247	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-07-08	public	sra,fastq,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243039	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG039AM3_12MTH_07082020	PAIRED	RANDOM	METAGENOMIC	hSCATG039	hSCATG039AM3	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG039AM3_12MTH_07082020	SRP501636	1423216	SampsonTR_2025	0254941c-8ad4-4c92-b771-9d3248550a8f
SRR28674671	6	WGS	302	343619828	PRJNA1099939	SAMN40961864	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	152240352	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-01-08	public	sra,fastq,run.zq	gs,s3,ncbi	gs.us-east1,ncbi.public,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243038	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG039AM2_6MTH_01082020	PAIRED	RANDOM	METAGENOMIC	hSCATG039	hSCATG039AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG039AM2_6MTH_01082020	SRP501636	1401339	SampsonTR_2025	089f5240-d35a-496a-8303-2ae425f290ae
SRR28674672	3	WGS	302	643671626	PRJNA1099939	SAMN40961863	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	268660237	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-10-08	public	fastq,sra,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243037	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG039AM2_3MTH_10082019	PAIRED	RANDOM	METAGENOMIC	hSCATG039	hSCATG039AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG039AM2_3MTH_10082019	SRP501636	2141518	SampsonTR_2025	04ccfbce-c006-4872-baf1-f71f97c48e8c
SRR28674677	3	WGS	302	137057868	PRJNA1099939	SAMN40961851	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	71439500	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-10-08	public	fastq,run.zq,sra	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243032	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG037AM1_3MTH_10082019	PAIRED	RANDOM	METAGENOMIC	hSCATG037	hSCATG037AM1	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG037AM1_3MTH_10082019	SRP501636	255569	SampsonTR_2025	3cb4e4a4-9997-40f4-816c-5cfda96761b6
SRR28674678	1	WGS	302	307790850	PRJNA1099939	SAMN40961734	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	134883302	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2019-07-05	public	run.zq,sra,fastq	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243031	USA	North America	USA: Alabama	NTG	Mus musculus	Illumina HiSeq X	hSCATG020AM1_1MTH_07052019	PAIRED	RANDOM	METAGENOMIC	hSCATG020	hSCATG020AM1	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG020AM1_1MTH_07052019	SRP501636	1185996	SampsonTR_2025	54d6dfa2-38b5-4daf-a8d9-b49572f40a5f
SRR28674684	12	WGS	302	280744938	PRJNA1099939	SAMN40961817	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	125676395	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-06-30	public	run.zq,sra,fastq	s3,gs,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243025	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG034AM2_12MTH_06302020	PAIRED	RANDOM	METAGENOMIC	hSCATG034	hSCATG034AM2	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:57:00Z	1	hSCATG034AM2_12MTH_06302020	SRP501636	1092872	SampsonTR_2025	257f16d7-1738-4b67-a38d-b1ccd0b12e02
SRR28674685	6	WGS	302	403750746	PRJNA1099939	SAMN40961816	MIMS.me,MIGS/MIMS/MIMARKS.host-associated	178146804	UNIVERSITY OF ALABAMA AT BIRMINGHAM	2020-01-02	public	fastq,run.zq,sra	s3,ncbi,gs	ncbi.public,gs.us-east1,s3.us-east-1	mouse gut	mouse gut	fecal material [ENVO:00002003]	SRX24243024	USA	North America	USA: Alabama	TG	Mus musculus	Illumina HiSeq X	hSCATG034AM1_6MTH_01022020	PAIRED	RANDOM	METAGENOMIC	hSCATG034	hSCATG034AM1	mouse gut metagenome	ILLUMINA	2024-04-15T00:00:00Z	2024-04-14T15:56:00Z	1	hSCATG034AM1_6MTH_01022020	SRP501636	1431275	SampsonTR_2025	da74eaa2-3f10-4b71-b875-d9b0569eebd8
